9344,9344
120,161
1029,1018
538,373
357,885
544,682
10992,10992
677,672
1397,1093
101,141
6592,6592
874,832
160,149
480,576
938,634
768,864
106,109
320,512
586,469
554,597
202,416
714,714
960,757
309,538
576,586
960,757
640,522
597,618
437,480
277,757
437,576
120,144
597,608
576,298
320,501
288,352
832,842
74,72
437,480
597,597
874,832
320,341
140,121
261,229
153,153
672,757
384,384
725,597
960,1381
522,469
320,394
586,469
352,490
917,832
693,421
245,277
77,93
8912,8912
92,154
1056,981
384,384
352,362
6656,6656
6224,6224
10512,10512
320,501
80,136
162,157
896,533
181,200
554,544
597,597
832,661
618,842
373,362
320,501
586,469
130,144
373,352
1184,1136
490,448
3776,3776
373,576
1018,1120
7936,7936
330,234
757,554
5248,5248
373,362
245,277
410,586
586,586
608,608
242,112
560,485
88,93
234,362
757,554
501,576
682,682
437,480
330,405
8176,8176
245,426
6464,6464
256,309
512,778
554,448
125,106
104,85
906,1104
416,469
1024,938
5008,5008
672,981
512,784
554,586
938,565
149,154
970,448
618,597
8800,8800
11856,11856
9280,9280
608,330
640,570
560,453
66,96
725,586
837,650
426,565
208,165
640,426
74,144
661,736
80,98
362,613
458,501
85,146
109,77
3776,3776
757,554
469,554
437,544
1210,1114
480,330
101,106
352,320
72,82
362,480
373,362
576,597
1168,1045
1034,970
480,330
714,714
501,448
234,298
88,88
506,533
810,810
373,362
149,168
80,136
234,298
576,298
168,189
234,141
746,501
1157,1082
768,688
10256,10256
1168,1045
448,661
309,533
1109,906
554,725
330,234
6464,6464
885,928
480,362
490,426
6464,6464
341,565
362,613
821,757
661,490
848,469
368,618
874,832
629,624
352,320
190,176
864,725
200,78
810,586
352,480
5008,5008
757,512
298,416
181,176
1434,538
104,98
592,629
74,162
298,416
5744,5744
613,634
762,704
842,672
10992,10992
352,480
853,912
1024,768
372,409
661,960
240,213
416,202
554,469
5008,5008
576,437
613,634
554,597
125,128
234,298
288,352
800,314
362,613
778,512
1338,1429
7392,7392
352,480
576,458
469,352
501,576
480,576
114,112
501,512
320,394
874,832
933,570
157,156
4032,4032
18688,18688
6224,6224
8912,8912
298,469
698,688
9824,9824
906,522
200,141
288,352
11120,11120
608,330
146,117
10992,10992
320,501
629,933
352,373
88,128
341,565
5376,5376
138,136
40,106
288,362
501,426
266,362
5744,5744
709,549
4400,4400
394,405
874,832
341,352
874,1002
9520,9520
608,618
576,469
5488,5488
426,522
320,565
168,189
5488,5488
96,96
352,490
6832,6832
277,480
5120,5120
277,757
352,480
361,242
554,757
320,512
334,357
234,298
245,426
448,298
394,512
437,437
128,144
9520,9520
597,618
656,880
298,288
656,880
752,858
122,98
554,757
538,565
1920,1669
5616,5616
298,469
426,522
257,254
608,922
330,437
144,109
501,416
458,352
778,645
490,901
640,597
618,746
7760,7760
437,480
501,565
544,501
1168,1045
194,133
101,213
864,1056
77,134
6960,6960
490,394
4640,4640
298,576
5616,5616
288,362
437,576
320,512
8608,8608
490,394
437,448
682,682
512,778
362,373
437,736
12576,12576
6352,6352
9152,9152
405,405
853,912
146,117
522,576
6592,6592
4400,4400
501,448
320,501
229,208
426,565
85,85
1488,1637
597,597
736,938
725,800
554,597
6352,6352
6096,6096
1184,746
288,277
11856,11856
8000,8000
597,672
640,608
581,586
554,448
362,394
2512,1578
5376,5376
101,141
17712,17712
277,757
1637,1050
832,661
490,469
176,197
266,298
512,576
506,533
1013,970
672,693
656,880
714,714
896,672
853,853
6592,6592
13568,13568
624,890
672,853
152,154
1232,869
586,469
501,512
416,522
10448,10448
5616,5616
757,554
554,448
778,645
1232,869
194,106
565,576
258,242
13376,13376
288,352
800,544
4640,4640
128,144
437,320
1706,682
80,85
160,154
330,405
778,645
778,426
490,384
7696,7696
437,298
512,544
3408,3408
810,757
490,426
842,1258
149,130
640,565
522,618
1157,1082
677,821
661,736
85,138
570,570
757,554
90,153
1488,1637
125,104
693,1050
490,426
554,480
560,736
416,384
842,1258
416,522
464,533
11600,11600
597,618
4880,4880
810,586
